ID,Lugar,Etapa,Mes,Fecha,Dia,Hora,Usuario,ID_barrio,Barrio1,comuna,Estrato,Hora1,hora_r
2225,SIN INFORMACION,INDAGACIÓN,enero,2020-01-14,martes,08:30:00,PONAL_WS,1017.0,San Judas Tadeo I,10,3,1900-01-01 08:30:00,8
2226,SIN INFORMACION,INDAGACIÓN,enero,2020-01-26,domingo,21:30:00,PONAL_WS,2197.0,Ciudadela del Rio - CVC,21,2,1900-01-01 21:30:00,22
2227,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,07:30:00,PONAL_WS,1112.0,Prados de Oriente,11,3,1900-01-01 07:30:00,8
2228,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,10:00:00,PONAL_WS,702.0,Alfonso Lopez II,7,3,1900-01-01 10:00:00,10
2229,SIN INFORMACION,INDAGACIÓN,enero,2020-01-26,domingo,12:00:00,PONAL_WS,102.0,Vista Hermosa,1,1,1900-01-01 12:00:00,12
2230,SIN INFORMACION,INDAGACIÓN,enero,2020-01-21,martes,13:00:00,PONAL_WS,308.0,La Merced,3,3,1900-01-01 13:00:00,13
2231,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,07:30:00,PONAL_WS,1405.0,José Manuel Marroquín II,14,2,1900-01-01 07:30:00,8
2232,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,03:00:00,PONAL_WS,207.0,Granada,2,4,1900-01-01 03:00:00,3
2233,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,17:00:00,PONAL_WS,210.0,Santa Mónica,2,5,1900-01-01 17:00:00,17
2234,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,10:30:00,PONAL_WS,501.0,El Sena,5,3,1900-01-01 10:30:00,10
2235,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,12:00:00,PONAL_WS,1904.0,Urbanización Tequendama,19,5,1900-01-01 12:00:00,12
2236,SIN INFORMACION,INDAGACIÓN,enero,2020-01-10,viernes,23:00:00,PONAL_WS,1912.0,3 de Julio,19,4,1900-01-01 23:00:00,23
2237,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,08:00:00,PONAL_WS,2201.0,Urbanización Ciudad Jardín,22,6,1900-01-01 08:00:00,8
2238,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,07:30:00,PONAL_WS,402.0,Santander,4,2,1900-01-01 07:30:00,8
2239,SIN INFORMACION,QUERELLABLE,enero,2020-01-10,viernes,15:00:00,PONAL_WS,1697.0,Ciudad 2000,16,4,1900-01-01 15:00:00,15
